id,date,symbol,score,signal_strength,entry,sl,sl_pct,t1,t2,rr_t1,rr_t2,sector,layers_passed,layer1,layer2,layer3,layer4,layer5,bulk_buyers,pcr,call_oi_chg,put_oi_chg,status,current_price,exit_price,pnl_pct,pnl_pts,exit_date,exit_reason,t1_hit,days_held,progress_pct,dist_sl_pct,dist_t2_pct,last_updated,reasons
20,2026-06-07,ADANIGREEN,7.0,GOOD,1525.7,1487.56,2.5,1617.24,1678.27,2.4,4.0,Nifty Energy,4,2.0,1.0,2.0,2.0,0.0,,,,,SL HIT,1484.6,1484.6,-2.69,-41.1,2026-06-10,SL Hit,False,3,-26.9,-0.2,13.05,2026-06-10 15:09 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Volume breakout (1.8× avg) | OBV uptrend confirmed | Nifty Energy above EMA20
21,2026-06-07,FEDERALBNK,7.0,GOOD,304.15,296.55,2.5,322.4,334.56,2.4,4.0,Nifty Bank,4,2.0,2.0,1.0,2.0,0.0,,,,,EXPIRED,321.45,321.45,5.69,17.3,2026-06-24,Max hold (15d),False,17,56.9,7.75,4.08,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Bank above EMA20
22,2026-06-07,IPCALAB,7.0,GOOD,1641.9,1600.85,2.5,1740.41,1806.09,2.4,4.0,Nifty Pharma,4,2.0,1.0,2.0,2.0,0.0,,,,,SL HIT,1583.0,1583.0,-3.59,-58.9,2026-06-13,SL Hit,False,6,-35.9,-1.13,14.09,2026-06-13 11:22 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Pharma above EMA20
23,2026-06-07,LICHSGFIN,7.0,GOOD,549.75,536.01,2.5,582.74,604.73,2.4,4.0,Nifty Finance,4,2.0,2.0,2.0,1.0,0.0,,,,,SL HIT,535.75,535.75,-2.55,-14.0,2026-06-11,SL Hit,False,4,-25.5,-0.05,12.88,2026-06-11 13:38 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
24,2026-06-10,LALPATHLAB,8.0,GOOD,1591.8,1552.0,2.5,1687.31,1750.98,2.4,4.0,Nifty Pharma,4,2.0,2.0,2.0,2.0,0.0,,,,,TARGET HIT,1765.0,1765.0,10.88,173.2,2026-06-16,T2 Hit,True,6,100,12.07,-0.79,2026-06-16 10:34 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
25,2026-06-10,LALPATHLAB,8.0,GOOD,1591.8,1552.0,2.5,1687.31,1750.98,2.4,4.0,Nifty Pharma,4,2.0,2.0,2.0,2.0,0.0,,,,,TARGET HIT,1765.0,1765.0,10.88,173.2,2026-06-16,T2 Hit,True,6,100,12.07,-0.79,2026-06-16 10:34 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
26,2026-06-11,JSWSTEEL,7.0,GOOD,1269.7,1249.99,1.55,1345.88,1396.67,3.87,6.44,Nifty Metal,4,2.0,2.0,2.0,1.0,0.0,,,,,SL HIT,1233.4,1233.4,-2.86,-36.3,2026-06-24,SL Hit,False,13,-28.6,-1.35,13.24,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
27,2026-06-11,KOTAKBANK,7.0,GOOD,387.6,377.91,2.5,410.86,426.36,2.4,4.0,Nifty Bank,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,406.35,406.35,4.84,18.75,,,False,13,48.4,7.0,4.92,2026-06-24 10:25 IST,BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Bank above EMA20
28,2026-06-11,JSWSTEEL,7.0,GOOD,1269.7,1249.99,1.55,1345.88,1396.67,3.87,6.44,Nifty Metal,4,2.0,2.0,2.0,1.0,0.0,,,,,SL HIT,1233.4,1233.4,-2.86,-36.3,2026-06-24,SL Hit,False,13,-28.6,-1.35,13.24,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
29,2026-06-13,NYKAA,8.0,GOOD,273.5,266.66,2.5,289.91,300.85,2.4,4.0,Nifty 50,4,2.0,2.0,2.0,2.0,0.0,,,,,TARGET HIT,301.05,301.05,10.07,27.55,2026-06-18,T2 Hit,True,5,100,11.42,-0.07,2026-06-18 12:30 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
